JobTitle,Company,Location,Summary,Salary,DateOfPosting,URL
Junior Valuation Analyst / Junior Immobilienbewerter (m/w/x),McMakler GmbH,Berlin,"Wir bei McMakler brechen eingestaubte Strukturen auf und vereinen Tradition mit Innovation, um den Immobilienmarkt im Zeitalter der Digitalisierung zu…",,vor 9 Tagen,https://indeedhi.re/3d8U6rT
Junior ESG Research Analyst - Thai,RepRisk,Berlin,"RepRisk is a data science company working to make the business world more transparent.
As a team member at RepRisk, you are on the cutting-edge of using data…",,vor 1 Tag,https://indeedhi.re/31o9Y4A
Junior ESG Research Analyst - Finnish,RepRisk,Berlin,"RepRisk is a data science company working to make the business world more transparent.
As a team member at RepRisk, you are on the cutting-edge of using data…",,vor 1 Tag,https://indeedhi.re/3rscEIE
Junior Research Analyst (f/m/d) Investment Platform & Data Services,METATRUST GmbH,Berlin,"METATRUST ist der persönliche Transaktionsbegleiter für globale Immobilientransaktionen mit leistungsstarker Investmentplattform.
Wir freuen uns auf Dich!",,vor 1 Tag,https://indeedhi.re/3cn9npY
Junior Data Generalist (f/m/d),Asana Rebel,Berlin,"Join the existing data team and support Asana Rebel’s data driven business culture.
1 year experience in a data-driven role (BI / Data Analyst preferred),…",,Vor mehr als 30 Tagen,https://indeedhi.re/3q4HOVY
Junior BI Analyst (m/f/d),Crealytics,Berlin,"You have the capability to translate business questions into structured analysis of data.
You have experience using Python or R to transform and analyze data …",,Gerade geschaltet,https://indeedhi.re/2Pa3hjW
Junior Marketing Analyst (f/m/d),Asana Rebel,Berlin,"Join the existing data team and support Asana Rebel’s data driven business culture.
Our ideal candidate is curious, analytical and passionate about data.",,Vor mehr als 30 Tagen,https://indeedhi.re/2MtVPia
(Junior) Data Engineer (f/m/x),Customlytics GmbH,Berlin,"Unser Data Team braucht Unterstützung, um unser Geschäft auf dem mobilen App Marketing Markt im DACH-Raum auszuweiten.
Basiswissen in SQL-, Python und GIT.",,vor 24 Tagen,https://indeedhi.re/3deoz7W
Junior Asset Backed / Private Credit Analyst / Origination Support (f/m/d),CrossLend,Berlin,"Originators are providing historical data that are used to create prediction models.
The role will involve negotiation, data analysis / modelling, pitch book…",,vor 10 Tagen,https://indeedhi.re/39jD3SW
Junior Data Engineer (m/f/d) - remote from GER,BASF,Berlin-Friedrichshain,"In this course you set up sustainable End-to-End data pipelines due to needs (data availability, use case requirements, scalability) using different platforms…",,vor 21 Tagen,https://indeedhi.re/2PytUyI
Junior Analyst Controlling - Logistics (f/m/x),AUTO1,Berlin,"Create and evaluate a high volume of data and reports.
Analytical, data and numbers-driven with profound MS Excel skills.",,Vor mehr als 30 Tagen,https://indeedhi.re/3stLwdE
Junior Banking Operations Analyst | Automation in Seizures Operations (m/f/div) at Solarisbank AG,Solarisbank,Berlin,"Solarisbank is a tech company with a full German banking license.
Our Banking-as-a-Service platform enables businesses to offer their own financial products.",,vor 16 Tagen,https://indeedhi.re/3fiUvLi
Junior Business Analyst International Payments,Amazon Deutschland Servcs GmbH,Berlin,"Data driven and can successfully obtain and use data to support arguments.
Protecting your privacy and the security of your data is a longstanding top priority…",20 € pro Stunde,Vor mehr als 30 Tagen,https://indeedhi.re/2OaNccI
JUNIOR CONSULTANT DATA-DRIVEN INNOVATION & MARKETING,TD Reply GmbH,Berlin,"For our team we are looking for a junior consultant in the field of data-driven trend and marketing research.
Trend and topic-specific data mining, integrating,…",,vor 25 Tagen,https://indeedhi.re/3coaztg
Banking Operations Junior Analyst | BKYC (m/f/div) at Solarisbank AG,Solarisbank,Berlin,"Solarisbank is a tech company with a full German banking license.
Our Banking-as-a-Service platform enables businesses to offer their own financial products.",,Vor mehr als 30 Tagen,https://indeedhi.re/3q1qGR9
Junior UX/ UI Analyst (m/f/d),home24 SE,Berlin,"We utilize data to provide personalized recommendations, tips and inspiration for every home.
Monitor metrics and gather insights from quantitative data about…",,vor 28 Tagen,https://indeedhi.re/3r7DlmY
Junior Technical Digital Analyst - (m/f/div),Dept,Berlin,"Dein Herz und dein Verstand für Analytics geht so weit, dass du deinen Pioniergeist endlich in die Welt des digitalen Business einbringen willst - von der…",,vor 15 Tagen,https://indeedhi.re/3rr4gt2
Junior Conversion Optimisation Manager (f/m/x),AUTO1,Berlin,"Implement your findings of your investigations by collaborating with internal teams like design, product, content and data analysts.",,vor 21 Tagen,https://indeedhi.re/39havJI
Junior Backend Engineer (Kotlin),OLX Group,Berlin,"As an engineer in our team, you'll be collaborating closely with colleague engineers and frontend engineers, SRE, product team, data analysts and an engineering…",,vor 8 Tagen,https://indeedhi.re/3w6lG1U
